LÄNSKOD;LÄN;KOMMUNKOD;KOMMUN;LOKALID;LOKAL;2022-08-24 00:00:00;2022-08-25 00:00:00;2022-08-26 00:00:00;2022-08-27 00:00:00;2022-08-28 00:00:00;2022-08-29 00:00:00;2022-08-30 00:00:00;2022-08-31 00:00:00;2022-09-01 00:00:00;2022-09-02 00:00:00;2022-09-03 00:00:00;2022-09-04 00:00:00;2022-09-05 00:00:00;2022-09-06 00:00:00;2022-09-07 00:00:00;2022-09-08 00:00:00;2022-09-09 00:00:00;2022-09-10 00:00:00;2022-09-11 00:00:00;TOTAL
01;Stockholms län;14;Upplands Väsby;100006994;Väsby Centrum;388;374;345;243;252;404;403;441;441;477;410;491;602;714;818;861;942;901;852;10359
01;Stockholms län;14;Upplands Väsby;100007015;Upplands Väsby station;156;195;185;129;94;162;154;184;158;180;137;253;253;287;355;417;465;508;0;4272
01;Stockholms län;14;Upplands Väsby;100007017;Löwenströmska sjukhuset;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;121;0;0;225
01;Stockholms län;15;Vallentuna;100007317;Kårsta bibliotek;0;0;0;0;0;0;0;0;68;0;0;0;0;103;0;0;0;0;0;171
01;Stockholms län;15;Vallentuna;100007320;Kulturhuset;238;279;255;199;266;387;386;389;371;436;392;490;642;701;712;741;786;635;415;8720
01;Stockholms län;15;Vallentuna;100028494;Karby fritidsgården Haket;0;0;0;0;0;0;173;0;0;0;0;0;0;0;0;273;0;0;0;446
01;Stockholms län;17;Österåker;100007322;Bygdegården Lurkan;0;0;0;51;0;0;0;0;0;0;50;0;0;0;0;0;0;0;0;101
01;Stockholms län;17;Österåker;100007323;Åkersberga bibliotek;358;368;318;220;202;409;460;382;492;448;365;428;733;751;786;856;779;467;0;8822
01;Stockholms län;17;Österåker;100007324;Tempo Ljusterö;27;41;39;17;0;25;34;56;58;49;43;0;68;70;93;105;121;126;0;972
01;Stockholms län;17;Österåker;100007326;Enebackens äldreboende;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;10
01;Stockholms län;17;Österåker;100007327;Anstalten Österåker;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;0;0;0;0;68
01;Stockholms län;17;Österåker;100007328;Träffpunkt Solgården;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;18
01;Stockholms län;17;Österåker;100007329;Träffpunkt Solhälla;0;0;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0;21
01;Stockholms län;17;Österåker;100007330;Kommunhuset/Alceahuset;190;187;153;0;0;237;190;248;220;220;0;0;312;307;395;442;445;0;432;3978
01;Stockholms län;17;Österåker;100007331;Humana Norrgårdshöjden;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;19
01;Stockholms län;17;Österåker;100007332;Attendo Kantarellvägen;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;10
01;Stockholms län;17;Österåker;100007333;Ljungbacken;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20
