Statistik från Skolverket, https://www.skolverket.se

Gymnasieskola - Avgångselever, nationella program (fr.o.m. 2013/14)
Valt läsår: 2024/25

;;;;;;;;;;;;;;;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;Andel elever med minst betyget E i gymnasiegemensamma kurser samt Gymnasiearbete;
Skola;Skol-enhetskod;Skolkommun;Kommun-kod;Typ av huvudman;Huvudman;Huvudman orgnr;Program;Totalt antal;Andel (%) med examen;Andel (%) med studiebevis;Andel (%) med grundl. behörighet;Andel (%) med utökat prog.;GBP för elever med examen eller studiebevis;GBP för elever med examen;Eng 5;Historia 1;Idrott 1;Ma 1;Na 1;Re 1;Sam 1;Sv 1;Sv andraspr. 1;Gymnarb.;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Nationella program;153;94,1;..;94,1;..;14,8;15,1;100,0;100,0;99,3;98,0;99,3;96,1;99,3;100,0;..;99,3;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Samhällsvetenskapsprogrammet;153;94,1;..;94,1;..;14,8;15,1;100,0;100,0;99,3;98,0;99,3;96,1;99,3;100,0;..;99,3;
Aranäsgymnasiet Enhet 2;58191646;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Högskoleförberedande program;153;94,1;..;94,1;..;14,8;15,1;100,0;100,0;99,3;98,0;99,3;96,1;99,3;100,0;..;99,3;
Aranäsgymnasiet Enhet 3;15567070;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Högskoleförberedande program;107;93,5;..;93,5;15,9;16,3;16,6;100,0;97,2;100,0;99,1;100,0;96,3;100,0;100,0;.;100,0;
Aranäsgymnasiet Enhet 3;15567070;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Naturvetenskapsprogrammet;86;96,5;..;96,5;..;16,7;16,9;100,0;96,5;100,0;100,0;.;100,0;100,0;100,0;.;100,0;
Aranäsgymnasiet Enhet 3;15567070;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Nationella program;107;93,5;..;93,5;15,9;16,3;16,6;100,0;97,2;100,0;99,1;100,0;96,3;100,0;100,0;.;100,0;
Aranäsgymnasiet Enhet 3;15567070;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Estetiska programmet;21;81,0;..;81,0;..;14,7;15,4;100,0;100,0;100,0;95,2;100,0;81,0;100,0;100,0;.;100,0;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Yrkesprogram;58;86,2;..;56,9;17,2;12,9;13,3;96,6;98,3;94,8;96,6;98,3;74,1;91,4;98,1;..;96,6;
Aranäsgymnasiet Enhet 4;56021320;Kungsbacka;1384;Kommunal;Kungsbacka kommun;2120001256;Bygg- och anläggningsprogrammet;32;84,4;..;62,5;..;12,8;13,4;96,9;96,9;100,0;96,9;96,9;62,5;90,6;96,9;.;96,9;
